date,gdp_diff,cpi,interest,ppi,une,cps,gdp_gap,lm_positive,lm_negative,vader_positive,vader_negative,words_count,recession,cpi_diff,interest_diff,cps_diff,une_diff,subprime,covid
2008-12-01,-0.6101649372931917,1.7,3.8881,0.316855108598912,8.4,10.0,-1.092743748344958,0.0458015267175572,0.0483460559796437,0.147,0.042,1965,1,-0.5000000000000002,-0.3082999999999996,-3.5,0.3000000000000007,1,0
2009-01-01,-0.5563355845952032,1.2,4.1037,-0.956251123441958,8.8,7.8,-1.6040087233625968,0.0245338567222767,0.0613346418056918,0.111,0.118,2038,1,-0.5,0.2155999999999998,-2.2,0.40000000000000036,1,0
2009-02-01,-0.44929220867300046,1.2,4.1962,-1.74005712950261,9.1,6.4,-2.01107344277996,0.0209567198177676,0.0382687927107061,0.116,0.05,2195,1,0.0,0.09250000000000025,-1.3999999999999995,0.29999999999999893,1,0
2009-03-01,-0.3047873520000053,0.6,4.142,-3.46041183523968,9.4,3.2,-2.2776993749657066,0.0225988700564971,0.0594266582967147,0.094,0.061,4779,1,-0.6,-0.054199999999999804,-3.2,0.3000000000000007,1,0
2009-04-01,-0.16225484723919692,0.6,4.0879,-4.35996505644948,9.6,0.2,-2.4069421630734382,0.0269727403156384,0.0507890961262553,0.096,0.078,3485,1,0.0,-0.05410000000000004,-3.0,0.1999999999999993,1,0
2009-05-01,-0.042029952078507904,0.1,4.134,-5.75014841435935,9.7,-4.8,-2.4220345343769765,0.0319881889763779,0.0501968503937007,0.163,0.112,2032,1,-0.5,0.04610000000000003,-5.0,0.09999999999999964,1,0
2009-06-01,0.04892190225370996,-0.1,4.3237,-6.09158354109586,9.8,-6.0,-2.353007498617103,0.0308254963427377,0.0585161964472309,0.111,0.061,3828,1,-0.2,0.1896999999999993,-1.2000000000000002,0.10000000000000142,1,0
2009-07-01,0.11167527187740234,-0.6,4.0889,-7.68980400463669,9.9,-8.6,-2.228649312572088,0.0307762976573265,0.0606338998621956,0.123,0.095,2177,0,-0.5,-0.2347999999999999,-2.5999999999999996,0.09999999999999964,1,0
2009-08-01,0.1504563772319898,-0.1,3.89,-6.18204492953916,9.9,-12.5,-2.073358609282238,0.0291970802919708,0.035279805352798,0.12,0.003,822,0,0.5,-0.19889999999999963,-3.9000000000000004,0.0,0,0
2009-09-01,0.17164028426070388,-0.3,3.8669,-6.19157446017346,10.1,-10.4,-1.9050041885312083,0.0346232179226069,0.0514256619144602,0.137,0.037,1964,0,-0.19999999999999998,-0.023100000000000342,2.0999999999999996,0.1999999999999993,0,0
2009-10-01,0.18114728031810046,-0.1,3.8036,-4.43139371543376,10.2,-10.3,-1.7353905795113604,0.029659588810246,0.0546006066734074,0.1,0.108,2967,0,0.19999999999999998,-0.06329999999999991,0.09999999999999964,0.09999999999999964,0,0
2009-11-01,0.1855302365420073,0.5,3.8368,-1.21707463706796,10.2,-7.2,-1.569637148319714,0.0226451457480125,0.0370994940978077,0.103,0.03,4151,0,0.6,0.03320000000000034,3.1000000000000005,0.0,0,0
2009-12-01,0.1911845994812893,0.9,3.8718,1.12968659959387,10.2,-2.5,-1.4063473012697898,0.0213151927437641,0.0603174603174603,0.104,0.092,4410,0,0.4,0.0349999999999997,4.7,0.0,0,0
2010-01-01,0.2038304218039002,0.9,4.1012,2.53072645128928,10.3,1.4,-1.2382953894273498,0.0324881141045958,0.0435816164817749,0.132,0.027,2524,0,0.0,0.2294000000000005,3.9,0.10000000000000142,0,0
2010-02-01,0.22338618941840593,0.8,4.1068,2.59356153041961,10.4,3.8,-1.0582396149425506,0.0331369661266568,0.0758468335787923,0.154,0.054,1358,0,-0.09999999999999998,0.005599999999999383,2.4,0.09999999999999964,0,0
2010-03-01,0.24794443941840427,1.6,3.9852,3.6621844220078,10.3,7.5,-0.8607596501365435,0.0391184573002754,0.08099173553719,0.133,0.07,1815,0,0.8,-0.12159999999999993,3.7,-0.09999999999999964,0,0
2010-04-01,0.264216761421892,1.6,4.1533,4.23680208858081,10.4,11.7,-0.6536500888503554,0.0356798457087753,0.0761812921890067,0.15,0.075,1037,0,0.0,0.16809999999999992,4.199999999999999,0.09999999999999964,0,0
2010-05-01,0.26781323380080835,1.7,3.6821,4.43982957579469,10.4,14.9,-0.44903567157740554,0.032932566649242,0.0663878724516466,0.132,0.076,3826,0,0.09999999999999987,-0.4711999999999996,3.200000000000001,0.0,0,0
