date,gdp,cpi,interest,ppi,une,cps,gdp_cycle,gdp_trend,lm_positive,lm_negative,vader_positive,vader_negative,gdp_diff,cpi_diff,une_diff,ppi_diff,interest_diff,subprime,debt_crises,covid
2010-07-01,92.5120288925232,1.7,3.6136,96.8,10.3,14.6,-0.07541314380185327,92.58744203632506,0.03568932163855752,0.06648060770756567,0.143,0.0696,0.2513727328311006,0.19999999999999996,-0.09999999999999964,0.20000000000000284,-0.07580000000000009,0,0,0
2010-08-01,92.7560876603994,1.6,3.437,96.9,10.3,14.4,0.09074904223970748,92.6653386181597,0.0283031704993876,0.060960674921758,0.126,0.096,0.24405876787619718,-0.09999999999999987,0.0,0.10000000000000853,-0.1766000000000001,0,0,0
2010-09-01,92.9961278156856,1.9,3.4933,97.1,10.3,13.7,0.24931229308805314,92.74681552259754,0.03549800313446996,0.059435508421070156,0.1192,0.07226666666666667,0.24004015528619504,0.2999999999999998,0.0,0.19999999999998863,0.05630000000000024,0,0,0
2010-10-01,93.2339407613787,1.9,3.3306,97.2,10.3,13.3,0.40271687718275473,92.83122388419595,0.027387935958478906,0.05056488143170423,0.11092307692307692,0.07438461538461538,0.23781294569310774,0.0,0.0,0.10000000000000853,-0.16270000000000007,0,0,0
2010-11-01,93.4689344096202,1.9,3.7209,97.5,10.3,14.1,0.551002258754167,92.91793215086604,0.028497794166644018,0.05397670899545285,0.112,0.0653125,0.23499364824149893,0.0,0.0,0.29999999999999716,0.39029999999999987,0,0,0
2010-12-01,93.6973800800835,2.2,4.0696,98.3,10.2,18.4,0.6910433431148277,93.00633673696868,0.02831213144593015,0.06239817965976498,0.1335,0.057499999999999996,0.22844567046330155,0.30000000000000027,-0.10000000000000142,0.7999999999999972,0.34870000000000045,0,0,0
2011-01-01,93.9118144360224,2.3,3.9391,99.4,10.2,24.8,0.8159421151118238,93.09587232091057,0.0210225243626014,0.05653372316204769,0.07925,0.10075,0.21443435593889149,0.09999999999999964,0.0,1.1000000000000085,-0.1305000000000005,0,0,0
2011-02-01,94.1051584727862,2.4,4.4787,100.0,10.2,29.0,0.9191369025668337,93.18602157021937,0.033823129906860386,0.055540120789314085,0.12162500000000001,0.072,0.19334403676380418,0.10000000000000009,0.0,0.5999999999999943,0.5396000000000001,0,0,0
2011-03-01,94.2699949163414,2.7,4.4907,100.7,10.1,33.9,0.9936711012717865,93.27632381506962,0.02549015179366953,0.04779521673222843,0.08953333333333333,0.06566666666666666,0.16483644355520255,0.30000000000000027,-0.09999999999999964,0.7000000000000028,0.012000000000000455,0,0,0
2011-04-01,94.4079356639736,2.8,4.6606,101.5,10.0,34.1,1.0415534493861571,93.36638221458745,0.028639292477136823,0.06388129170575158,0.11325,0.08175,0.1379407476322001,0.09999999999999964,-0.09999999999999964,0.7999999999999972,0.16989999999999927,0,0,0
